texto,sentimento
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
A apresentação foi incrível e emocionante.,positivo
O filme é chato e mal dirigido.,negativo
Entrega rápida e produto bem embalado.,positivo
Sistema confuso e cheio de erros.,negativo
Achei o sistema simples e muito funcional.,positivo
Qualidade abaixo do esperado.,negativo
O curso é bem organizado e fácil de acompanhar.,positivo
Atendimento demorado e sem educação.,negativo
"Ótimo custo-benefício, vale muito a pena.",positivo
"Dinheiro jogado fora, arrependimento total.",negativo
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
A apresentação foi incrível e emocionante.,positivo
O filme é chato e mal dirigido.,negativo
Entrega rápida e produto bem embalado.,positivo
Sistema confuso e cheio de erros.,negativo
Achei o sistema simples e muito funcional.,positivo
Qualidade abaixo do esperado.,negativo
O curso é bem organizado e fácil de acompanhar.,positivo
Atendimento demorado e sem educação.,negativo
"Ótimo custo-benefício, vale muito a pena.",positivo
"Dinheiro jogado fora, arrependimento total.",negativo
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
A apresentação foi incrível e emocionante.,positivo
O filme é chato e mal dirigido.,negativo
Entrega rápida e produto bem embalado.,positivo
Sistema confuso e cheio de erros.,negativo
Achei o sistema simples e muito funcional.,positivo
Qualidade abaixo do esperado.,negativo
O curso é bem organizado e fácil de acompanhar.,positivo
Atendimento demorado e sem educação.,negativo
"Ótimo custo-benefício, vale muito a pena.",positivo
"Dinheiro jogado fora, arrependimento total.",negativo
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
A apresentação foi incrível e emocionante.,positivo
O filme é chato e mal dirigido.,negativo
Entrega rápida e produto bem embalado.,positivo
Sistema confuso e cheio de erros.,negativo
Achei o sistema simples e muito funcional.,positivo
Qualidade abaixo do esperado.,negativo
O curso é bem organizado e fácil de acompanhar.,positivo
Atendimento demorado e sem educação.,negativo
"Ótimo custo-benefício, vale muito a pena.",positivo
"Dinheiro jogado fora, arrependimento total.",negativo
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
A apresentação foi incrível e emocionante.,positivo
O filme é chato e mal dirigido.,negativo
Entrega rápida e produto bem embalado.,positivo
Sistema confuso e cheio de erros.,negativo
Achei o sistema simples e muito funcional.,positivo
Qualidade abaixo do esperado.,negativo
O curso é bem organizado e fácil de acompanhar.,positivo
Atendimento demorado e sem educação.,negativo
"Ótimo custo-benefício, vale muito a pena.",positivo
"Dinheiro jogado fora, arrependimento total.",negativo
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
A apresentação foi incrível e emocionante.,positivo
O filme é chato e mal dirigido.,negativo
Entrega rápida e produto bem embalado.,positivo
Sistema confuso e cheio de erros.,negativo
Achei o sistema simples e muito funcional.,positivo
Qualidade abaixo do esperado.,negativo
O curso é bem organizado e fácil de acompanhar.,positivo
Atendimento demorado e sem educação.,negativo
"Ótimo custo-benefício, vale muito a pena.",positivo
"Dinheiro jogado fora, arrependimento total.",negativo
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
A apresentação foi incrível e emocionante.,positivo
O filme é chato e mal dirigido.,negativo
Entrega rápida e produto bem embalado.,positivo
Sistema confuso e cheio de erros.,negativo
Achei o sistema simples e muito funcional.,positivo
Qualidade abaixo do esperado.,negativo
O curso é bem organizado e fácil de acompanhar.,positivo
Atendimento demorado e sem educação.,negativo
"Ótimo custo-benefício, vale muito a pena.",positivo
"Dinheiro jogado fora, arrependimento total.",negativo
O filme foi excelente e a atuação impecável.,positivo
"Péssima experiência, o atendimento é horrível.",negativo
"Produto de ótima qualidade, superou minhas expectativas.",positivo
Produto veio com defeito e não funcionou.,negativo
Atendimento rápido e muito eficiente.,positivo
Entrega atrasada e sem explicação.,negativo
"Experiência maravilhosa, com certeza voltarei.",positivo
"Serviço muito ruim, não recomendo.",negativo
Serviço impecável e muito profissional.,positivo
Experiência frustrante e decepcionante.,negativo
